Время	ТМИ
449.356	62.574066
449.365	62.574066
449.376	62.090855
449.386	62.574066
449.395	62.815487
449.405	62.815487
449.416	62.090855
449.425	62.574066
449.435	62.574066
449.446	62.574066
449.455	62.815487
449.465	62.815487
449.476	62.574066
449.485	62.574066
449.495	62.574066
449.506	62.574066
449.515	62.332523
449.525	62.815487
449.536	62.574066
449.546	62.574066
449.555	62.574066
449.566	62.574066
449.576	62.815487
449.585	62.815487
449.596	62.574066
449.606	62.815487
449.615	62.574066
449.626	62.574066
449.636	62.815487
449.645	62.815487
449.655	62.815487
449.666	62.815487
449.675	62.574066
449.685	62.574066
449.696	62.815487
449.705	62.815487
449.715	62.815487
449.726	62.815487
449.735	62.574066
449.745	62.574066
449.756	62.815487
449.765	62.815487
449.775	62.332523
449.786	62.574066
449.796	62.574066
449.805	62.574066
449.816	62.332523
449.826	62.815487
449.835	62.332523
449.846	62.574066
449.856	62.574066
449.865	62.574066
449.876	62.815487
449.886	62.815487
449.895	62.815487
449.905	62.574066
449.916	62.574066
449.925	62.574066
449.935	62.815487
449.946	62.815487
449.955	62.815487
449.965	62.574066
449.976	62.815487
449.985	61.607147
449.995	62.815487
450.006	62.815487
450.015	62.815487
450.025	62.574066
450.036	62.574066
450.046	62.574066
450.055	62.815487
450.066	62.815487
450.076	62.815487
450.085	62.815487
450.096	62.574066
450.106	62.574066
450.115	62.815487
450.126	62.815487
450.136	62.815487
450.145	62.815487
450.155	62.574066
450.166	62.574066
450.175	62.815487
450.185	62.815487
450.196	62.815487
450.205	62.815487
450.215	62.574066
450.226	62.574066
450.235	62.815487
450.245	62.815487
450.256	62.815487
450.265	62.574066
450.275	62.574066
450.286	62.574066
450.296	62.815487
450.305	62.815487
450.316	62.332523
450.326	62.574066
450.335	62.574066
450.346	62.574066
450.356	62.815487
450.365	62.815487
450.376	61.849064
450.386	62.574066
450.395	62.332523
450.405	62.574066
450.416	62.815487
450.425	62.815487
450.435	62.815487
450.446	62.574066
450.455	62.090855
450.465	62.574066
450.476	62.815487
450.485	62.815487
450.495	62.815487
450.506	62.574066
450.515	62.574066
450.525	62.574066
450.536	62.815487
450.546	62.815487
450.555	62.332523
450.566	62.815487
450.576	62.574066
450.585	62.574066
450.596	62.815487
450.606	62.815487
450.615	62.815487
450.626	62.815487
450.636	62.574066
450.645	62.574066
450.655	62.815487
450.666	62.815487
450.675	62.815487
450.685	62.815487
450.696	62.574066
450.705	62.574066
450.715	62.815487
450.726	62.815487
450.735	62.815487
450.745	62.574066
450.756	62.574066
450.765	62.574066
450.775	62.815487
450.786	62.815487
450.796	62.815487
450.805	62.574066
450.816	62.574066
450.826	62.574066
450.835	62.815487
450.846	62.815487
450.856	62.815487
450.865	62.090855
450.876	62.574066
450.886	62.574066
450.895	62.815487
450.905	62.815487
450.916	62.815487
450.925	61.607147
450.935	63.539043
450.946	62.574066
450.955	62.815487
450.965	62.815487
450.976	62.815487
450.985	62.574066
450.995	62.574066
451.006	62.574066
451.015	62.815487
451.025	62.815487
451.036	62.815487
451.046	62.574066
451.055	62.574066
451.066	62.090855
451.076	62.815487
451.085	62.815487
451.096	62.574066
451.106	62.815487
451.115	62.574066
451.126	62.574066
451.136	62.815487
451.145	62.815487
451.155	62.574066
451.166	62.815487
451.175	62.090855
451.185	62.574066
451.196	62.815487
451.205	63.297977
451.215	61.607147
451.226	62.815487
451.235	62.574066
451.245	62.574066
451.256	62.815487
451.265	62.815487
451.275	62.574066
451.286	62.090855
451.296	62.574066
451.305	62.574066
451.316	62.815487
451.326	62.815487
451.335	62.574066
451.346	62.574066
451.356	62.574066
451.365	62.574066
451.376	62.815487
451.386	62.815487
451.395	62.574066
451.405	62.574066
451.416	62.574066
451.425	62.574066
451.435	62.815487
451.446	62.815487
451.455	62.574066
451.465	62.574066
451.476	62.574066
451.485	62.574066
451.495	62.815487
451.506	62.574066
451.515	62.574066
451.525	62.574066
451.536	62.090855
451.546	62.574066
451.555	62.815487
451.566	62.815487
451.576	62.574066
451.585	62.815487
451.596	62.574066
451.606	62.574066
451.615	62.815487
451.626	62.815487
451.636	62.574066
451.645	62.815487
451.655	63.056789
451.666	63.056789
451.675	63.779991
451.685	63.297977
451.696	62.574066
451.705	63.297977
451.715	62.574066
451.726	63.539043
451.735	62.815487
451.745	63.297977
451.756	62.815487
451.765	62.574066
451.775	62.574066
451.786	62.574066
451.796	62.815487
451.805	63.297977
451.816	62.815487
451.826	63.056789
451.835	62.574066
451.846	62.574066
451.856	62.815487
451.865	63.297977
451.876	62.815487
451.886	63.539043
451.895	62.574066
451.905	63.056789
451.916	62.815487
451.925	62.815487
451.935	62.815487
451.946	63.056789
451.955	62.574066
451.965	62.574066
451.976	62.815487
451.985	62.815487
451.995	62.815487
452.006	62.574066
452.015	62.574066
452.025	62.574066
452.036	62.815487
